City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Muros,42.7762,-9.0603,59.85,83,15,7.23,few clouds
185,Kursenai,55.985,22.9189,53.85,96,100,12.73,overcast clouds
186,Lorengau,-2.0226,147.2712,84.16,73,100,5.86,overcast clouds
187,Dawlatabad,36.4141,64.9053,48.16,75,100,3.69,overcast clouds
188,Havre-Saint-Pierre,50.2334,-63.5986,41.0,93,1,8.05,clear sky
189,Saiha,22.4833,92.9667,68.65,88,96,2.3,overcast clouds
190,Asau,46.4333,26.4,43.75,81,39,4.45,scattered clouds
191,Bonthe,7.5264,-12.505,77.27,88,85,3.67,moderate rain
192,Sao Raimundo Nonato,-9.0153,-42.6994,79.59,36,4,3.98,clear sky
193,Parabel,58.6978,81.4825,22.89,97,62,5.53,broken clouds
194,Adrar,20.5022,-10.0711,71.19,52,74,8.48,broken clouds
195,Paamiut,61.994,-49.6678,30.67,69,100,13.38,overcast clouds
196,Songkhla,6.8333,100.6667,77.05,98,100,2.01,overcast clouds
197,Hithadhoo,-0.6,73.0833,82.47,69,94,14.81,overcast clouds
198,Phek,25.6667,94.5,52.45,99,43,1.03,scattered clouds
199,Ahipara,-35.1667,173.1667,68.52,65,94,6.85,light rain
200,Kupang,-10.1667,123.5833,90.18,62,40,10.36,scattered clouds
201,La Ronge,55.1001,-105.2842,41.25,81,90,2.3,light intensity drizzle
202,Gemlik,40.4309,29.1597,57.49,88,23,5.46,few clouds
203,Castro,-24.7911,-50.0119,61.65,93,100,8.95,overcast clouds
204,Heishan,41.6892,122.1128,53.04,41,0,4.43,clear sky
205,Rosehearty,57.697,-2.1132,55.96,86,100,9.04,overcast clouds
206,Ewa Beach,21.3156,-158.0072,83.57,73,75,14.97,broken clouds
207,Cabra,37.4725,-4.4421,57.9,85,4,4.47,clear sky
208,Atbasar,51.8,68.3333,29.1,48,32,12.59,scattered clouds
209,New Norfolk,-42.7826,147.0587,71.74,45,81,1.99,broken clouds
210,Bengkulu,-3.8004,102.2655,78.44,79,100,3.49,overcast clouds
211,Karratha,-20.7377,116.8463,82.4,26,6,8.41,clear sky
212,Fez,34.0372,-4.9998,55.65,47,0,5.75,clear sky
213,Chicama,-7.8447,-79.1469,59.54,82,54,7.7,broken clouds
214,Nouakchott,18.0858,-15.9785,80.53,57,69,10.63,broken clouds
215,Codigoro,44.8311,12.1142,50.29,77,14,3.49,few clouds
216,Vardo,70.3705,31.1107,34.59,53,99,14.88,overcast clouds
217,Stokmarknes,68.5646,14.9108,38.5,95,100,13.51,moderate rain
218,Gorontalo,0.5412,123.0595,87.15,67,20,2.06,few clouds
219,Bridgetown,13.1,-59.6167,81.09,74,20,13.8,few clouds
220,Lekoni,-1.5843,14.2591,69.8,91,100,3.11,overcast clouds
221,Seda,57.65,25.75,51.33,83,100,10.22,overcast clouds
222,Svetlaya,46.5389,138.3297,50.68,49,100,8.99,light rain
223,Hasaki,35.7333,140.8333,68.29,60,100,17.69,overcast clouds
224,Hovd,48.0056,91.6419,36.1,42,13,7.36,few clouds
225,Kruisfontein,-34.0033,24.7314,62.67,88,100,5.84,overcast clouds
226,Moroni,-11.7022,43.2551,77.25,83,3,8.81,light rain
227,Fortuna,40.5982,-124.1573,64.42,64,1,1.01,clear sky
228,Lata,40.1629,-8.3327,52.05,63,0,2.1,clear sky
229,Severo-Kurilsk,50.6789,156.125,43.95,90,87,9.06,overcast clouds
230,Shenjiamen,29.9576,122.298,66.11,58,6,12.71,clear sky
231,Waitati,-45.75,170.5667,62.82,70,28,9.78,scattered clouds
232,Dubbo,-32.25,148.6167,82.53,30,100,4.61,overcast clouds
233,Mackenzie,55.2999,-123.1698,41.22,65,90,6.91,overcast clouds
234,Luanda,-8.8368,13.2343,75.2,83,75,10.36,broken clouds
235,Kayerkan,69.3497,87.7602,-10.5,99,100,4.94,overcast clouds
236,Guspini,39.5406,8.6294,59.7,79,100,3.6,overcast clouds
237,Ponta Do Sol,32.6667,-17.1,68.72,68,14,2.51,few clouds
238,Wajid,3.8093,43.2471,74.07,81,8,11.86,clear sky
239,Porto Novo,6.4965,2.6036,80.42,91,45,4.5,moderate rain
240,Ihosy,-22.4,46.1167,66.45,87,66,5.03,broken clouds
241,Laakirchen,47.9819,13.8217,46.0,94,23,1.45,few clouds
242,Nanakuli,21.3906,-158.1547,83.57,61,75,11.5,broken clouds
243,Lebu,-37.6167,-73.65,52.66,90,0,12.55,clear sky
244,Kara,9.5511,1.1861,76.51,80,26,3.96,scattered clouds
245,Tilichiki,60.4667,166.1,6.22,83,17,7.94,few clouds
246,Labuhan,-6.8844,112.2051,83.01,76,97,6.96,overcast clouds
247,Port Elizabeth,-33.918,25.5701,62.89,94,100,9.22,overcast clouds
248,Chumikan,54.7183,135.315,37.98,72,10,15.05,clear sky
249,Gobabis,-22.45,18.9667,63.54,84,100,13.24,moderate rain
250,San Quintin,30.4833,-115.95,68.07,59,0,6.67,clear sky
251,Torbay,47.6666,-52.7314,39.27,90,75,10.36,broken clouds
252,Stornoway,58.2093,-6.3865,53.92,82,75,11.5,broken clouds
253,Batemans Bay,-35.7167,150.1833,84.2,32,80,6.29,broken clouds
254,Sao Filipe,14.8961,-24.4956,79.05,76,100,9.69,overcast clouds
255,Santa Maria,-29.6842,-53.8069,70.9,64,0,5.75,clear sky
256,Marakkanam,12.2,79.95,77.56,81,98,11.72,light rain
257,Ola,59.5833,151.2833,27.59,74,100,3.89,overcast clouds
258,Souris,49.6172,-100.2612,42.66,56,99,7.05,overcast clouds
259,San Carlos De Bariloche,-41.1456,-71.3082,56.95,35,0,3.44,clear sky
