City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,Gotsu,35.0,132.2167,51.94,74,11,0.72,JP,2021-10-25 23:41:34
170,Skjervoy,70.0311,20.9714,32.63,72,99,15.43,NO,2021-10-25 23:41:34
171,Odweyne,9.4092,45.064,72.34,49,79,4.27,SO,2021-10-25 23:41:35
172,Pyinmana,19.7333,96.2167,71.17,94,14,1.83,MM,2021-10-25 23:41:35
173,Siuna,13.7332,-84.7773,75.07,97,11,2.24,NI,2021-10-25 23:41:36
174,Lillooet,50.6856,-121.942,54.32,83,84,8.19,CA,2021-10-25 23:41:36
175,Mineral Wells,32.8085,-98.1128,85.73,48,1,5.75,US,2021-10-25 23:41:36
176,Tautira,-17.7333,-149.15,82.0,77,90,3.56,PF,2021-10-25 23:41:37
177,Colares,38.7992,-9.4469,61.32,73,0,10.0,PT,2021-10-25 23:41:37
178,Hami,42.8,93.45,45.19,35,0,7.99,CN,2021-10-25 23:41:38
179,Gwembe,-16.4975,27.6069,72.95,41,26,7.09,ZM,2021-10-25 23:41:38
180,Harper,4.375,-7.7169,77.83,80,100,9.22,LR,2021-10-25 23:41:39
181,Ilulissat,69.2167,-51.1,10.42,67,0,3.44,GL,2021-10-25 23:41:39
182,Bimbo,4.2567,18.4158,78.73,94,77,0.0,CF,2021-10-25 23:41:40
183,Gushikawa,26.3544,127.8686,72.63,76,1,4.61,JP,2021-10-25 23:41:40
184,Ginir,7.1333,40.7,56.12,77,10,4.7,ET,2021-10-25 23:41:41
185,Gizo,-8.103,156.8419,84.7,70,23,6.69,SB,2021-10-25 23:39:59
186,San Quintin,30.4833,-115.95,66.29,72,6,13.96,MX,2021-10-25 23:41:42
187,Mahebourg,-20.4081,57.7,72.25,83,40,12.66,MU,2021-10-25 23:41:43
188,Thompson,55.7435,-97.8558,37.56,75,40,3.44,CA,2021-10-25 23:41:43
189,Atbasar,51.8,68.3333,46.51,50,100,12.39,KZ,2021-10-25 23:41:44
190,Verkhnevilyuysk,63.4453,120.3167,30.6,88,99,6.17,RU,2021-10-25 23:41:44
191,Mazamet,43.49,2.373,55.08,93,0,1.14,FR,2021-10-25 23:41:45
192,Gravelbourg,49.8834,-106.5512,48.47,51,98,13.73,CA,2021-10-25 23:41:45
193,Namatanai,-3.6667,152.4333,85.14,65,90,2.82,PG,2021-10-25 23:41:46
194,Hualmay,-11.0964,-77.6139,62.98,84,38,10.78,PE,2021-10-25 23:41:46
195,Baiao,-2.7906,-49.6717,75.72,89,36,2.37,BR,2021-10-25 23:41:47
196,Dongargaon,20.9667,80.85,68.49,70,33,2.55,IN,2021-10-25 23:41:47
197,Lebu,-37.6167,-73.65,52.38,93,6,13.33,CL,2021-10-25 23:41:48
198,Yatou,37.15,122.3833,58.1,66,53,5.03,CN,2021-10-25 23:41:48
199,Atar,20.5169,-13.0499,83.68,27,94,9.04,MR,2021-10-25 23:41:49
200,Te Anau,-45.4167,167.7167,64.54,68,57,2.33,NZ,2021-10-25 23:41:49
201,Leshukonskoye,64.8989,45.7622,15.55,99,96,2.71,RU,2021-10-25 23:41:50
202,Mecca,21.4267,39.8261,78.58,63,1,2.48,SA,2021-10-25 23:38:34
203,Lorengau,-2.0226,147.2712,85.05,66,45,5.77,PG,2021-10-25 23:41:50
204,Santo Antonio Do Ica,-3.1022,-67.9397,74.41,92,100,2.59,BR,2021-10-25 23:41:51
205,Carnarvon,-24.8667,113.6333,66.27,63,75,16.11,AU,2021-10-25 23:40:46
206,Honggang,46.4667,124.8667,43.79,59,53,5.28,CN,2021-10-25 23:41:52
207,Buala,-8.145,159.5921,85.89,65,55,8.79,SB,2021-10-25 23:41:07
208,Ayagoz,47.9714,80.4392,37.69,46,53,3.31,KZ,2021-10-25 23:41:52
209,Sorland,67.667,12.6934,48.83,89,100,20.15,NO,2021-10-25 23:41:53
210,Kovur,14.4833,79.9833,77.43,76,14,4.85,IN,2021-10-25 23:41:53
211,Buraydah,26.326,43.975,73.85,40,0,8.03,SA,2021-10-25 23:39:16
212,Ketchikan,55.3422,-131.6461,48.67,81,90,3.44,US,2021-10-25 23:41:54
213,Shira,54.4911,89.9531,36.99,77,83,5.61,RU,2021-10-25 23:41:54
214,Isangel,-19.55,169.2667,84.31,65,20,11.5,VU,2021-10-25 23:41:55
215,Axim,4.8699,-2.2405,78.03,88,85,10.16,GH,2021-10-25 23:39:31
216,Rabo De Peixe,37.8,-25.5833,67.51,73,40,5.75,PT,2021-10-25 23:41:56
